"","branch_level","trees","shrinkage","min_node","accuracy","accuracy_sd"
"H1-13","9","1200","0.01","5",0.799920506601629,0.0259814482713292
"H2-9","6","3000","0.01","5",0.939261033116106,0.0385959382315536
"H2-10","9","1000","0.01","5",0.808749051727291,0.0463724392286757
"L1-11","6","3000","0.01","5",0.853096546512733,0.0598080060394507
"L1-12","6","300","0.01","5",0.860952380952381,0.147138034579093
"L1-13","3","100","0.01","5",0.965198412698413,0.079049945643381
"L1-14","3","300","0.01","5",0.888492063492063,0.124203747977049
"L1-15","9","2000","0.001","2",0.905238095238095,0.209568727458697
"L1-16","6","3000","0.01","5",0.947198021276969,0.0634564562788937
"L2-8","6","2500","0.01","5",0.856436975634757,0.0505279519394204
"L3-8","9","3000","0.01","5",0.778581048581049,0.217789417287564
"L3-9","6","3000","0.01","5",0.886745436636193,0.0393930740053701
"L3-10","9","2000","0.001","5",0.82037999037999,0.160845964201448
"L3-11","9","3000","0.01","5",0.975925925925926,0.0781917463562516
