,query_cluster,template_cluster,error_count,mean_simu_error_count,sd,significance
L1-16-noneL1-16-1,L1-16-none,L1-16-1,10,8.994,0.901541334,1
H2-9-noneH2-9-1,H2-9-none,H2-9-1,9,8.475,0.732059363,1
H1-14-noneH1-14-1,H1-14-none,H1-14-1,10,7.186,1.701852021,0.982
H2-10-2H2-10-6,H2-10-2,H2-10-6,13,7.128,2.619633272,0.988
H1-15-noneH1-15-1,H1-15-none,H1-15-1,7,5.83,0.993018674,1
H2-9-3H2-9-1,H2-9-3,H2-9-1,4,3.762,0.479150901,1
H1-13-3H1-13-none,H1-13-3,H1-13-none,7.666666667,2.413,1.470575939,0.996
H2-10-4H2-10-2,H2-10-4,H2-10-2,5,2.329,1.294772349,0.986
H1-13-noneH1-13-3,H1-13-none,H1-13-3,6,2.326,1.532995132,0.99
L1-11-noneL1-11-3,L1-11-none,L1-11-3,6.666666667,1.991,1.380153551,0.996
H1-13-5H1-13-none,H1-13-5,H1-13-none,4.666666667,1.728,1.236747972,0.975
H1-13-noneH1-13-5,H1-13-none,H1-13-5,5,1.7,1.193911816,0.998
L3-9-noneL3-9-1,L3-9-none,L3-9-1,8.333333333,1.69,1.252784686,1
L1-12-1L1-12-none,L1-12-1,L1-12-none,3.666666667,1.305524239,0.943196459,0.979706877
H1-13-6H1-13-none,H1-13-6,H1-13-none,4,0.92,0.903557644,0.998
