,query_cluster,template_cluster,error_count,mean_simu_error_count,sd,significance
H2-10-noneH2-10-1,H2-10-none,H2-10-1,20.66666667,24.279,3.205531849,0.124
L2-8-1L2-8-2,L2-8-1,L2-8-2,21.66666667,20.867,4.587630909,0.567
L2-8-2L2-8-1,L2-8-2,L2-8-1,18.66666667,20.433,1.525725676,0.107
L3-9-2L3-9-cis7-1,L3-9-2,L3-9-cis7-1,18.66666667,18.603,1.930055988,0.462
H2-10-1H2-10-6,H2-10-1,H2-10-6,9.333333333,15.502,3.679338736,0.05
H1-13-4H1-13-1,H1-13-4,H1-13-1,13.66666667,14.8,1.772891182,0.229
L2-8-1L2-8-none,L2-8-1,L2-8-none,12.66666667,12.762,3.444011791,0.481
L2-8-noneL2-8-1,L2-8-none,L2-8-1,11.33333333,12.553,1.092879401,0.164
H2-10-1H2-10-3,H2-10-1,H2-10-3,15.66666667,12.047,3.477194542,0.846
H2-10-3H2-10-1,H2-10-3,H2-10-1,13.33333333,11.939,2.307076419,0.75
H2-10-2H2-10-none,H2-10-2,H2-10-none,12,11.489,3.195323002,0.64
L3-8-noneL3-8-1,L3-8-none,L3-8-1,8.333333333,11.457,2.656163814,0.141
H2-10-noneH2-10-2,H2-10-none,H2-10-2,11.33333333,11.44,2.967356602,0.503
L3-10-noneL3-10-1,L3-10-none,L3-10-1,9.333333333,10.017,2.795805345,0.441
L1-16-1L1-16-none,L1-16-1,L1-16-none,5,9.153,2.824813369,0.097
H1-13-1H1-13-2,H1-13-1,H1-13-2,7,8.906,2.854349543,0.318
L3-9-cis7-1L3-9-cis7-2,L3-9-cis7-1,L3-9-cis7-2,9.333333333,8.768,2.891113027,0.612
H2-9-1H2-9-none,H2-9-1,H2-9-none,3.333333333,8.558,2.801514677,0.026
H1-13-2H1-13-1,H1-13-2,H1-13-1,6.666666667,8.553,1.359057776,0.073
L2-8-1L2-8-4,L2-8-1,L2-8-4,13,8.232,2.907684754,0.953
L2-8-4L2-8-1,L2-8-4,L2-8-1,8.333333333,8.05,0.890108023,0.65
H1-14-1H1-14-none,H1-14-1,H1-14-none,6,7.744,2.100208293,0.27
H2-10-6H2-10-2,H2-10-6,H2-10-2,4,7.076,2.271427609,0.124
L1-14-noneL1-14-2,L1-14-none,L1-14-2,5.666666667,6.279,1.923761903,0.349
L1-15-noneL1-15-1,L1-15-none,L1-15-1,4,6.192,0.856662051,0.039
"L3-10-noneL3-10-cis7,8-1",L3-10-none,"L3-10-cis7,8-1",8,5.933,2.272372037,0.868
L3-9-cis7-3L3-9-cis7-1,L3-9-cis7-3,L3-9-cis7-1,4,4.848,0.969451307,0.325
L3-9-cis7-1L3-9-cis7-3,L3-9-cis7-1,L3-9-cis7-3,5,4.800200803,2.182442493,0.636546185
L1-10-1L1-10-none,L1-10-1,L1-10-none,4,4.51002004,1.945959938,0.529058116
L3-8-noneL3-8-2,L3-8-none,L3-8-2,5.333333333,4.077,1.923218596,0.79
L1-11-3L1-11-none,L1-11-3,L1-11-none,4,1.978,1.382543825,0.95
L3-9-noneL3-9-2,L3-9-none,L3-9-2,3.666666667,1.645,1.243592185,0.925
L3-9-1L3-9-none,L3-9-1,L3-9-none,3.666666667,1.638,1.198495888,0.929
