"","error_count","mean_simu_error_count","sd","query_cluster","template_cluster","significance"
"79",2,15.492,3.89166816173747,"H1-13-1","H1-13-5",0
"92",2,11.286,3.23862512382843,"H1-13-1","H1-13-6",0
"121",0,6.073,2.09858882944589,"H2-10-3","H2-10-2",0.001
"42",1,5.194,1.4820798091063,"H2-10-4","H2-10-1",0.006
"43",0,33.147,5.47150146927955,"L3-9-cis7-1","L3-9-1",0
"310",2,5.37,0.752107482787976,"L2-8-3","L2-8-1",0.002
"77",0,9.783,2.63188864465004,"L1-11-3","L1-11-2",0
"104",0,9.938,3.06423653550857,"L1-11-2","L1-11-3",0
"311",1,21.988,2.87299671251293,"L1-11-3","L1-11-1",0
"93",0,21.686,4.41575620963192,"L1-11-1","L1-11-3",0
"94",0,4.231,2.07748765458545,"H2-9-1","H2-9-3",0.012
"215",0,5.578,1.4177185637234,"L3-10-cis7,8-1","L3-10-1",0
"314",0,3.782,1.1991304824388,"L3-10-cis8-1","L3-10-1",0.006
"512",1,5.582,2.18907927404835,"L3-10-1","L3-10-cis7,8-1",0.018
"216",0,4.465,0.66424108290305,"L3-11-cis7-1","L3-11-1",0
"218",0,10.719,1.75017202071742,"L1-13-2","L1-13-1",0
"415",1,10.731,2.76410551160394,"L1-13-1","L1-13-2",0.001
"219",1,8.872,2.4135951279039,"L1-14-2","L1-14-1",0
"416",1,8.543,1.68849104291435,"L1-14-1","L1-14-2",0
"318",0,2.412,0.971184431093909,"L1-12-3","L1-12-1",0.024
"417",2,7.9,2.3599935528661,"L1-12-1","L1-12-2",0.005
"321",1,6.223,2.33124552668862,"H1-14-1","H1-14-none",0.01
