loop type,branch_level,trees,shrinkage,min_node,accuracy,accuracy_sd,loop,length
H1-13,9,1200,0.01,5,0.800,0.026,H1,13
H2-9,6,3000,0.01,5,0.939,0.039,H2,9
H2-10,9,1500,0.01,5,0.810,0.050,H2,10
L1-11,6,3000,0.01,5,0.853,0.060,L1,11
L1-12,6,300,0.01,5,0.861,0.147,L1,12
L1-13,3,100,0.01,5,0.965,0.079,L1,13
L1-14,3,300,0.01,5,0.888,0.124,L1,14
L1-15,9,2000,0.001,2,0.905,0.210,L1,15
L1-16,6,3000,0.01,5,0.947,0.063,L1,16
L2-8,6,2500,0.01,5,0.856,0.051,L2,8
L3-8,9,3000,0.01,5,0.779,0.218,L3,8
L3-9,6,1500,0.01,5,0.887,0.038,L3,9
L3-10,9,2000,0.001,5,0.820,0.161,L3,10
L3-11,9,3000,0.01,5,0.976,0.078,L3,11
