"x"
"1" ""
"x"
"1" "H1_13"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"32","H1-13-none","H1-13-1",35,1,16.3333333333333,4.72581562625261,18.6666666666667
"7","H1-13-1","H1-13-none",21.3333333333333,1.52752523165195,14.3333333333333,1.15470053837925,7
"36","H1-13-none","H1-13-5",6.33333333333333,0.577350269189626,0,0,6.33333333333333
"17","H1-13-3","H1-13-none",6.33333333333333,1.15470053837925,1,1.73205080756888,5.33333333333333
"25","H1-13-5","H1-13-none",5,0,0,0,5
"34","H1-13-none","H1-13-3",6.66666666666667,0.577350269189626,2,0,4.66666666666667
"18","H1-13-4","H1-13-1",14,0,10.6666666666667,2.51661147842358,3.33333333333333
"1","H1-13-1","H1-13-2",8.33333333333333,0.577350269189626,5.33333333333333,0.577350269189626,3
"35","H1-13-none","H1-13-4",2.66666666666667,0.577350269189626,0,0,2.66666666666667
"29","H1-13-6","H1-13-none",4,0,1.66666666666667,0,2.33333333333333
"20","H1-13-4","H1-13-none",1,0,0,0,1
"38","H1-13-none","H1-13-7",1,0,0,0,1
"16","H1-13-3","H1-13-6",0.666666666666667,0.577350269189626,0.333333333333333,1.73205080756888,0.333333333333333
"27","H1-13-6","H1-13-3",0.333333333333333,0.577350269189626,0,0,0.333333333333333
"5","H1-13-1","H1-13-6",2,0,1.66666666666667,1,0.333333333333333
"11","H1-13-2","H1-13-none",2.66666666666667,0.577350269189626,2.66666666666667,0.577350269189626,0
"15","H1-13-3","H1-13-5",2.33333333333333,0.577350269189626,2.33333333333333,1,0
"24","H1-13-5","H1-13-7",0,0,0.333333333333333,0,-0.333333333333333
"21","H1-13-5","H1-13-1",3.66666666666667,0.577350269189626,4,0.577350269189626,-0.333333333333333
"33","H1-13-none","H1-13-2",2,0,2.33333333333333,0.577350269189626,-0.333333333333333
"22","H1-13-5","H1-13-3",1,0,2,1.52752523165195,-1
"23","H1-13-5","H1-13-6",0,0,1,0,-1
"31","H1-13-7","H1-13-6",0,0,1,0.577350269189626,-1
"14","H1-13-3","H1-13-4",0,0,1.33333333333333,0,-1.33333333333333
"19","H1-13-4","H1-13-2",0,0,1.33333333333333,1.15470053837925,-1.33333333333333
"28","H1-13-6","H1-13-7",0,0,1.33333333333333,0,-1.33333333333333
"13","H1-13-3","H1-13-2",1,0,2.33333333333333,1.15470053837925,-1.33333333333333
"26","H1-13-6","H1-13-1",0.666666666666667,0.577350269189626,2,1.15470053837925,-1.33333333333333
"6","H1-13-1","H1-13-7",2,1,3.66666666666667,1,-1.66666666666667
"10","H1-13-2","H1-13-4",0.333333333333333,0.577350269189626,2.33333333333333,0.577350269189626,-2
"30","H1-13-7","H1-13-1",1,0,3,1.15470053837925,-2
"37","H1-13-none","H1-13-6",1,0,3,1.15470053837925,-2
"4","H1-13-1","H1-13-5",1,0,3.33333333333333,1.73205080756888,-2.33333333333333
"9","H1-13-2","H1-13-3",1,0,4.66666666666667,0.577350269189626,-3.66666666666667
"8","H1-13-2","H1-13-1",6,0,10.3333333333333,4.50924975282289,-4.33333333333333
