"","x"
"1",""
"x"
"1","good"
"query_cluster","template_cluster","loop_type","dist"
"1","H1-13-1","H1-13-5","H1-13","21.7693715228852"
"2","H1-13-6","H1-13-1","H1-13","23.1913164022113"
"3","H1-13-7","H1-13-1","H1-13","11.7864779653329"
"x"
"1","bad"
"query_cluster","template_cluster","loop_type","dist"
"1","H1-13-1","H1-13-2","H1-13","11.1236728915779"
"2","H1-13-1","H1-13-3","H1-13","15.8934829739158"
"3","H1-13-1","H1-13-4","H1-13","11.5285546290836"
"4","H1-13-2","H1-13-1","H1-13","11.1236728915779"
"5","H1-13-3","H1-13-1","H1-13","15.8934829739158"
"6","H1-13-4","H1-13-1","H1-13","11.5285546290836"
"7","H1-13-5","H1-13-1","H1-13","21.7693715228852"
"x"
"1","good"
"query_cluster","template_cluster","loop_type","dist"
"1","H2-10-4","H2-10-1","H2-10","19.2266925869133"
"2","H2-10-5","H2-10-1","H2-10","21.3664697793223"
"x"
"1","bad"
"query_cluster","template_cluster","loop_type","dist"
"1","H2-10-1","H2-10-2","H2-10","11.2688948269799"
"2","H2-10-1","H2-10-3","H2-10","9.42180847952286"
"3","H2-10-1","H2-10-6","H2-10","6.84546005236168"
"4","H2-10-2","H2-10-1","H2-10","11.2688948269799"
"5","H2-10-2","H2-10-6","H2-10","8.80543073214661"
"6","H2-10-3","H2-10-1","H2-10","9.42180847952286"
"7","H2-10-4","H2-10-2","H2-10","8.64079926114019"
"8","H2-10-6","H2-10-1","H2-10","6.84546005236168"
"9","H2-10-6","H2-10-2","H2-10","8.80543073214661"
"x"
"1","good"
"query_cluster","template_cluster","loop_type","dist"
"1","L3-9-1","L3-9-cis7-1","L3-9","20.9092202013053"
"x"
"1","bad"
"query_cluster","template_cluster","loop_type","dist"
"1","L3-9-2","L3-9-cis7-1","L3-9","6.92025650532663"
"2","L3-9-cis7-1","L3-9-2","L3-9","6.92025650532663"
"3","L3-9-cis7-1","L3-9-cis7-2","L3-9","9.72754169846668"
"4","L3-9-cis7-1","L3-9-cis7-3","L3-9","10.3563261935364"
"5","L3-9-cis7-2","L3-9-cis7-1","L3-9","9.72754169846668"
"6","L3-9-cis7-3","L3-9-cis7-1","L3-9","10.3563261935364"
