"","error_count","mean_simu_error_count","sd","query_cluster","template_cluster","significance"
"4",8,17.423,1.9271182591592,"H1-13-2","H1-13-1",0
"5",16,25.453,2.28801792519771,"H1-13-3","H1-13-1",0
"7",6,15.013,1.78886305541565,"H1-13-5","H1-13-1",0
"8",4,11.166,1.5135173387625,"H1-13-6","H1-13-1",0
"9",5,10.32,1.46620249275117,"H1-13-7","H1-13-1",0
"13",5,9.547,1.41130534711053,"H1-13-none","H1-13-1",0.005
"53",11,25.732,5.01949911558627,"H1-13-1","H1-13-3",0.001
"22",13,102.211,6.61182238079602,"H2-10-2","H2-10-1",0
"61",9,17.357,2.68565890681668,"H2-10-6","H2-10-1",0
"91",5,10.317,2.10545575682415,"H2-10-none","H2-10-1",0.013
"101",9,103.359,8.42989811220647,"H2-10-1","H2-10-2",0
"191",7,33.483,2.44370265840234,"L3-9-1","L3-9-cis7-1",0
"231",5,8.907,1.28919083653779,"L3-9-cis7-2","L3-9-cis7-1",0.01
"103",14,27.584,4.99017493138726,"L3-9-cis7-1","L3-9-2",0.005
"212",28,44.941,4.25859773336889,"L1-11-2","L1-11-1",0
"510",15,44.373,5.71704080408349,"L1-11-1","L1-11-2",0
"412",4,7.858,1.68007697997998,"L3-10-none","L3-10-1",0.02
"513",4,10.688,2.75867110512766,"L3-8-1","L3-8-2",0.009
"220",4,8.135,1.7232947353093,"L1-12-2","L1-12-1",0.013
